Id,Requirement
408,Upward short-wave irradiance at TOA
632,Upward short-wave irradiance at TOA
785,Upward short-wave irradiance at TOA
306,Upward spectral radiance at TOA
51,Vegetation type
309,Vegetation type
410,Vegetation type
760,Vegetation type
853,Water-leaving spectral radiance
459,Wave 1D energy frequency spectrum
460,Wave 1D energy frequency spectrum
461,Wave 1D energy frequency spectrum
462,Wave 1D energy frequency spectrum
463,Wave 1D energy frequency spectrum
464,Wave 1D energy frequency spectrum
465,Wave directional energy frequency spectrum
466,Wave directional energy frequency spectrum
467,Wave directional energy frequency spectrum
468,Wave directional energy frequency spectrum
469,Wave directional energy frequency spectrum
470,Wave directional energy frequency spectrum
679,Wetland extent
22,Wind (horizontal)
23,Wind (horizontal)
119,Wind (horizontal)
120,Wind (horizontal)
121,Wind (horizontal)
122,Wind (horizontal)
239,Wind (horizontal)
240,Wind (horizontal)
310,Wind (horizontal)
311,Wind (horizontal)
312,Wind (horizontal)
313,Wind (horizontal)
383,Wind (horizontal)
384,Wind (horizontal)
385,Wind (horizontal)
451,Wind (horizontal)
452,Wind (horizontal)
453,Wind (horizontal)
542,Wind (horizontal)
